effective_date,da_rate,pay_commission,notes
2000-01-01,38,5,On Basic
2000-07-01,41,5,On Basic
2001-01-01,43,5,On Basic
2001-07-01,45,5,On Basic
2002-01-01,49,5,On Basic
2002-07-01,52,5,On Basic
2003-01-01,55,5,On Basic
2003-07-01,59,5,On Basic
2004-01-01,61,5,On Basic (Jan-Mar)
2004-04-01,0,5,MERGER: 50% DA merged to DP. DA becomes 11% on (Basic+DP)
2004-04-01,11,5,On Basic+DP
2004-07-01,14,5,On Basic+DP
2005-01-01,17,5,On Basic+DP
2005-07-01,21,5,On Basic+DP
2006-01-01,24,5,On Basic+DP (End of 5th)
2006-01-01,0,6,Base Reset
2006-07-01,2,6,
2007-01-01,6,6,
2007-07-01,9,6,
2008-01-01,12,6,
2008-07-01,16,6,
2009-01-01,22,6,
2009-07-01,27,6,
2010-01-01,35,6,
2010-07-01,45,6,
2011-01-01,51,6,
2011-07-01,58,6,
2012-01-01,65,6,
2012-07-01,72,6,
2013-01-01,80,6,
2013-07-01,90,6,
2014-01-01,100,6,
2014-07-01,107,6,
2015-01-01,113,6,
2015-07-01,119,6,
2016-01-01,125,6,End of 6th Normal
2016-07-01,132,6,Extended
2017-01-01,136,6,Extended
2017-07-01,139,6,Extended
2016-01-01,0,7,Base Reset
2016-07-01,2,7,
2017-01-01,4,7,
2017-07-01,5,7,
2018-01-01,7,7,
2018-07-01,9,7,
2019-01-01,12,7,
2019-07-01,17,7,
2020-01-01,17,7,Freeze
2020-07-01,17,7,Freeze
2021-01-01,17,7,Freeze
2021-07-01,28,7,Freeze Lifted
2022-01-01,34,7,
2022-07-01,38,7,
2023-01-01,42,7,
2023-07-01,46,7,
2024-01-01,50,7,HRA Revision Trigger
2024-07-01,53,7,
2025-01-01,55,7,Expected